datum;nkp;rlm;slp
2016-10-15 00:00:00,000;4033780,389349;2910444,60483483;1123335,78451417
2016-10-16 00:00:00,000;3913559,833936;2934272,76011691;979287,07381909
2016-10-17 00:00:00,000;4046658,322556;2913402,85500814;1133255,46754786
2016-10-18 00:00:00,000;2370534,056388;1330188,92302263;1040345,13336537
2016-10-19 00:00:00,000;2453168,490576;1383649,4616508;1069519,0289252
2016-10-20 00:00:00,000;2792276,636598;1658842,21948565;1133434,41711235
2016-10-21 00:00:00,000;3912446,931828;2715486,50409383;1196960,42773417
2016-10-22 00:00:00,000;4200726,538631;2989339,30191287;1211387,23671813
2016-10-23 00:00:00,000;4341060,444971;3074187,30039814;1266873,14457286
2016-10-24 00:00:00,000;4208018,036131;2846077,8377055;1361940,1984255
2016-10-25 00:00:00,000;2841389,48364;1532939,48047444;1308450,00316556
2016-10-26 00:00:00,000;2998466,391173;1648375,04543783;1350091,34573517
2016-10-27 00:00:00,000;2938390,622801;1696150,61629815;1242240,00650285
2016-10-28 00:00:00,000;3987197,393523;2870394,76239111;1116802,63113189
2016-10-29 00:00:00,000;4230105,282704;3072755,04522633;1157350,23747767
2016-10-30 00:00:00,000;4216081,734184;2979791,89346293;1236289,84072107
2016-10-31 00:00:00,000;4006879,56076;2742928,44997096;1263951,11078904
2016-11-01 00:00:00,000;2725127,11644;1510370,2925852;1214756,8238548
2016-11-02 00:00:00,000;3263601,62036;1823133,1354834;1440468,4848766
2016-11-03 00:00:00,000;3548896,83714;1964448,4725542;1584448,3645858
2016-11-04 00:00:00,000;4760852,43426;3246822,4725828;1514029,9616772
2016-11-05 00:00:00,000;4626705,55724;3155672,9723352;1471032,5849048
2016-11-06 00:00:00,000;4632309,0512;3145910,4937832;1486398,5574168
2016-11-07 00:00:00,000;4899447,27026;3244625,6053712;1654821,6648888
2016-11-08 00:00:00,000;4048963,32342;2237691,4424902;1811271,8809298
2016-11-09 00:00:00,000;4351791,41864;2426924,9483284;1924866,4703116
2016-11-10 00:00:00,000;4472419,32572;2517177,608607565384;1955241,71711243
2016-11-11 00:00:00,000;5808700,99676;3667843,084614;2140857,912146
2016-11-12 00:00:00,000;6326447,73236;4012979,0648066;2313468,6675534
2016-11-13 00:00:00,000;5937549,53708;3599431,139216402697;2338118,3978636
2016-11-14 00:00:00,000;6165753,8402;3912440,8914334;2253312,9487666
2016-11-15 00:00:00,000;4438323,44894;2402520,1549444;2035803,2939956
2016-11-16 00:00:00,000;3820992,76664;2156781,462405;1664211,304235
2016-11-17 00:00:00,000;3366750,98976;1905036,836074;1461714,153686
2016-11-18 00:00:00,000;4445456,36618;3024107,1586812;1421349,2074988
2016-11-19 00:00:00,000;4643395,7035;3024277,7363086;1619117,9671914
2016-11-20 00:00:00,000;4140959,79794;2566301,4674908;1574658,3304492
2016-11-21 00:00:00,000;4384584,90752;2994099,5970442;1390485,3104758
2016-11-22 00:00:00,000;3012582,38406;1685502,310704;1327080,073356
2016-11-23 00:00:00,000;3454601,03684;1914045,6399254;1540555,3969146
2016-11-24 00:00:00,000;3838169,82908;2175035,03996;1663134,78912
2016-11-25 00:00:00,000;5433559,3349;3512178,6884342;1921380,6464658
2016-11-26 00:00:00,000;5385314,13086;3397099,9729508;1988214,1579092
2016-11-27 00:00:00,000;5288981,09254;3407573,1687404;1881407,9237996
2016-11-28 00:00:00,000;6217885,6697;3971031,8896552;2246853,7800448
2016-11-29 00:00:00,000;5128752,91398;2698080,2087582;2430672,7052218
2016-11-30 00:00:00,000;4889376,55146;2604539,4348092;2284837,1166508
2016-12-01 00:00:00,000;5213798,522625;3306413,381579;1907385,141046
2016-12-02 00:00:00,000;5917078,564375;3932543,19931825;1984535,36505675
2016-12-03 00:00:00,000;6063028,410725;3830405,1069845;2232623,3037405
2016-12-04 00:00:00,000;6116213,16075;3721499,644082;2394713,516668
2016-12-05 00:00:00,000;6713742,395525;4144379,61988325;2569362,77564175
2016-12-06 00:00:00,000;6243229,790325;3846512,9932185;2396716,7971065
2016-12-07 00:00:00,000;5010790,411275;2790761,2626905;2220029,1485845
2016-12-08 00:00:00,000;5079783,827525;3263478,33210025;1816305,49542475
2016-12-09 00:00:00,000;5078503,15665;3434543,00778325;1643960,14886675
2016-12-10 00:00:00,000;4448245,077375;2968225,75454075;1480019,32283425
2016-12-11 00:00:00,000;4804121,6344;3218502,662089;1585618,972311
2016-12-12 00:00:00,000;5444653,95595;3589827,4657575;1854826,4901925
2016-12-13 00:00:00,000;5384616,599175;3501528,173913;1883088,425262
2016-12-14 00:00:00,000;4424110,105525;2626729,14760575;1797380,95791925
2016-12-15 00:00:00,000;5605445,9417;3539359,15897575;2066086,78272425
2016-12-16 00:00:00,000;6222274,436125;3954793,15736175;2267481,27876325
2016-12-17 00:00:00,000;5066000,48955;2760885,512517;2305114,977033
2016-12-18 00:00:00,000;4370993,896225;2389035,24525325;1981958,65097175
2016-12-19 00:00:00,000;4413099,278775;2439276,625071;1973822,653704
2016-12-20 00:00:00,000;5022915,9409;2761250,213216;2261665,727684
2016-12-21 00:00:00,000;5119610,464925;2746239,71765825;2373370,74726675
